Singer,Pitch,Duration
1,0,1
1,1,7
2,6,3
3,2,4
4,12,2
1,7,4
2,8,6
3,6,4
4,8,3
1,8,2
2,1,6
3,5,28
4,11,49
1,10,50
2,11,35
3,8,20
4,2,3
1,2,23
2,5,10
3,4,34
4,7,25
1,10,22
2,6,36
3,5,17
4,9,47
1,12,34
2,11,20
3,4,31
4,5,48
1,9,33
2,1,47
3,0,26
4,3,42
1,5,46
2,7,6
3,5,37
4,7,40
1,7,6
2,11,35
3,2,19
4,11,39
1,5,3
2,8,48
3,5,5
4,2,21
1,1,32
2,7,1
3,10,19
4,7,14
1,5,6
2,11,34
3,9,33
4,9,50
1,6,45
2,10,5
3,11,24
4,2,33
1,10,31
2,11,25
3,11,17
4,8,6
1,4,2
2,10,24
3,1,3
4,0,37
1,6,47
2,1,8
3,2,3
4,10,42
1,4,43
2,7,31
3,4,20
4,5,31
